head_2,head_7,head_8,head_10,head_12,head_13_0,head_13_1,head_14,head_21_value_1,head_21_value_2,head_21_value_3,body_11,body_12,body_13,body_14_value_1,body_14_value_2,body_14_value_3,body_14_value_4,body_15_value_1,body_15_value_2,body_15_value_3,body_15_value_4,body_15_value_5,body_16,body_17
4,4,24,400,2,14,97137,6615057,6,5,,80,65,1,,,,,,,,,,623862956290.0,5413.0
6,4,25,0,5,14,97138,6615057,6,5,,80,65,5,,,,,,,,,,591725074757.0,5167.0
6,4,26,100,7,14,97139,6615057,6,,,80,65,1,,,,,,,,,,595955076357.0,1287.0
4,4,26,600,7,14,97140,6615057,6,5,,80,65,1,,,,,,,,,,584138076053.0,2283.0
4,4,39,700,7,14,97140,6615057,6,5,,80,65,1,,,,,,,,,,584138076053.0,2283.0
6,4,26,900,3,14,97141,6615057,6,,,80,65,4,,,,,,,,,,589552793576.0,5196.0
6,4,26,900,1,14,97142,6615057,6,,,80,65,1,,,,,,,,,,666810593499.0,2573.0
6,4,29,500,1,14,97142,6615057,6,,,80,65,1,,,,,,,,,,666810593499.0,2573.0
6,4,27,300,7,14,97143,6615057,6,,,80,65,2,,,,,,,,,,586307923603.0,380.0
6,4,30,400,2,14,97144,6615056,9,5,,5,128,1,,,,,,,,,,17350591005.0,1706.0
6,4,31,400,1,14,97145,6615057,6,,,80,65,4,,,,,,,,,,600297251887.0,3207.0
9,4,50,0,7,14,97146,6615057,6,,,80,65,6,,,,,,,,,,586364044719.0,364.0
6,4,34,0,7,14,97146,6615057,6,,,80,65,6,,,,,,,,,,586364044719.0,364.0
11,4,36,200,6,14,97147,6615056,8,,,5,128,0,,,,,,,,,,4428989884.0,5872.0
4,4,36,400,2,14,97148,6615057,6,5,,80,65,2,,,,,,,,,,597043961720.0,4698.0
4,4,39,700,2,14,97148,6615057,6,5,,80,65,2,,,,,,,,,,597043961720.0,4698.0
9,4,40,200,6,14,97149,6615056,9,,,5,128,1,,,,,,,,,,21944992224.0,4716.0
6,4,41,200,5,14,97150,6615057,6,,,80,65,1,,,,,,,,,,599174155042.0,753.0
11,4,42,500,7,14,97151,6615056,8,,,5,128,0,,,,,,,,,,4603380240.0,5734.0
6,4,44,800,2,14,97152,6615057,6,,,80,65,2,,,,,,,,,,587377776357.0,2072.0
6,4,43,400,2,14,97152,6615057,6,,,80,65,2,,,,,,,,,,587377776357.0,2072.0
11,4,45,500,0,14,97153,6615056,9,,,5,128,0,,,,,,,,,,4566352613.0,773.0
6,4,45,800,1,14,97154,6615057,6,,,80,65,2,,,,,,,,,,586305163551.0,3717.0
9,4,50,0,1,14,97154,6615057,6,,,80,65,2,,,,,,,,,,586305163551.0,3717.0
11,4,46,900,0,14,97155,6615056,9,,,5,128,0,,,,,,,,,,4863557803.0,1460.0
56,4,50,0,0,14,97155,6615056,9,,,5,128,0,,,,,,,,,,4863557803.0,1460.0
9,4,47,200,7,14,97156,6615056,9,,,5,128,1,,,,,,,,,,17870750168.0,2989.0
9,4,47,900,2,14,97157,6615056,9,,,5,128,1,,,,,,,,,,21641757903.0,4443.0
11,4,50,300,6,14,97158,6615056,8,,,5,128,0,,,,,,,,,,4428989884.0,448.0
4,4,53,500,7,14,97159,6615057,6,5,,80,65,1,,,,,,,,,,584138076053.0,698.0
9,4,57,0,2,14,97175,6615057,8,,,80,65,2,,,,,,,,,,591665328361.0,6117.0
4,4,57,600,2,14,97176,6615057,5,6,,80,65,3,,,,,,,,,,599205727848.0,2060.0
4,9,0,200,2,14,97176,6615057,5,6,,80,65,3,,,,,,,,,,599205727848.0,2060.0
6,4,58,300,7,14,97177,6615057,6,,,80,65,2,,,,,,,,,,591669160784.0,4199.0
6,9,10,400,7,14,97177,6615057,6,,,80,65,2,,,,,,,,,,591669160784.0,4199.0
11,9,1,400,4,14,97194,6615056,9,,,5,128,1,,,,,,,,,,17919444325.0,60.0
11,9,5,300,4,14,97194,6615056,9,,,5,128,1,,,,,,,,,,17919444325.0,60.0
4,9,3,800,2,14,97195,6615057,6,5,,80,65,1,,,,,,,,,,666818581127.0,1483.0
4,9,5,300,2,14,97195,6615057,6,5,,80,65,1,,,,,,,,,,666818581127.0,1483.0
6,9,25,800,7,14,97196,6615057,6,,,80,65,1,,,,,,,,,,589515187615.0,2937.0
6,9,6,100,7,14,97196,6615057,6,,,80,65,1,,,,,,,,,,589515187615.0,2937.0
4,9,6,300,2,14,97197,6615057,5,6,,80,65,3,,,,,,,,,,599205727848.0,2850.0
6,9,9,0,7,14,97213,6615057,6,,,80,65,5,,,,,,,,,,597090869048.0,5144.0
4,9,11,500,7,14,97214,6615057,6,5,,80,65,1,,,,,,,,,,584138076053.0,3593.0
4,9,12,0,3,14,97215,6615057,6,5,,80,65,4,,,,,,,,,,590626535400.0,1487.0
9,9,12,200,2,14,97216,6615056,9,,,5,128,1,,,,,,,,,,21641757903.0,4362.0
1,9,12,200,3,14,97218,6615057,5,1,6,80,65,1,,,,,,,,,,594881910977.0,2140.0
9,9,15,600,1,14,97219,6615056,9,,,5,128,1,,,,,,,,,,21928411481.0,1595.0
9,9,14,100,1,14,97219,6615056,9,,,5,128,1,,,,,,,,,,21928411481.0,1595.0
6,9,15,600,4,14,97220,6615057,6,,,80,65,6,,,,,,,,,,593893603168.0,2057.0
6,9,14,600,4,14,97220,6615057,6,,,80,65,6,,,,,,,,,,593893603168.0,2057.0
6,9,18,0,6,14,97221,6615057,6,,,80,65,2,,,,,,,,,,587383564612.0,4886.0
6,9,25,800,6,14,97221,6615057,6,,,80,65,2,,,,,,,,,,587383564612.0,4886.0
6,9,18,700,2,14,97222,6615057,6,,,80,65,1,,,,,,,,,,584140651902.0,2605.0
6,9,20,700,2,14,97222,6615057,6,,,80,65,1,,,,,,,,,,584140651902.0,2605.0
6,9,24,300,2,14,97238,6615057,6,,,80,65,1,,,,,,,,,,628164067245.0,595.0
6,9,25,800,2,14,97238,6615057,6,,,80,65,1,,,,,,,,,,628164067245.0,595.0
6,9,25,800,6,14,97255,6615057,5,,,80,65,2,,,,,,,,,,585224768150.0,105.0
9,9,27,900,1,14,97256,6615056,8,5,,5,128,0,,,,,,,,,,4408542626.0,1894.0
9,9,30,900,1,14,97256,6615056,8,5,,5,128,0,,,,,,,,,,4408542626.0,1894.0
4,9,30,700,2,14,97272,6615057,6,5,,80,65,5,,,,,,,,,,597087812983.0,1206.0
4,9,30,900,2,14,97272,6615057,6,5,,80,65,5,,,,,,,,,,597087812983.0,1206.0
4,9,31,400,3,14,97273,6615057,6,5,,80,65,5,,,,,,,,,,593875070302.0,5096.0
6,9,31,400,1,14,97274,6615057,6,,,80,65,5,,,,,,,,,,587430128136.0,2446.0
6,9,34,600,6,14,97290,6615057,5,,,80,65,2,,,,,,,,,,585224768150.0,6179.0
6,9,34,900,4,14,97292,6615057,6,,,80,65,5,,,,,,,,,,590654669052.0,6225.0
6,9,36,100,4,14,97292,6615057,6,,,80,65,5,,,,,,,,,,590654669052.0,6225.0
4,9,41,200,2,14,97293,6615057,9,5,,80,65,1,,,,,,,,,,590579265766.0,2886.0
4,9,36,0,2,14,97293,6615057,9,5,,80,65,1,,,,,,,,,,590579265766.0,2886.0
6,9,41,200,1,14,97294,6615057,6,,,80,65,2,,,,,,,,,,599189800252.0,3938.0
6,9,36,200,1,14,97294,6615057,6,,,80,65,2,,,,,,,,,,599189800252.0,3938.0
6,9,36,900,7,14,97295,6615057,6,,,80,65,5,,,,,,,,,,589580052794.0,2933.0
6,9,41,200,1,14,97312,6615057,6,,,80,65,1,,,,,,,,,,586292032090.0,5212.0
6,9,38,300,1,14,97312,6615057,6,,,80,65,1,,,,,,,,,,586292032090.0,5212.0
6,9,51,400,6,14,97315,6615057,9,,,80,65,3,,,,,,,,,,587400778469.0,2373.0
6,9,41,900,6,14,97315,6615057,9,,,80,65,3,,,,,,,,,,587400778469.0,2373.0
6,9,46,300,3,14,97316,6615057,6,,,80,65,1,,,,,,,,,,591661818703.0,611.0
6,9,43,0,3,14,97316,6615057,6,,,80,65,1,,,,,,,,,,591661818703.0,611.0
4,9,46,300,2,14,97317,6615057,6,5,,80,65,1,,,,,,,,,,628164067245.0,1450.0
4,9,43,700,2,14,97317,6615057,6,5,,80,65,1,,,,,,,,,,628164067245.0,1450.0
6,9,49,0,2,14,97336,6615057,6,,,80,65,1,,,,,,,,,,584140651902.0,6273.0
6,9,51,400,2,14,97336,6615057,6,,,80,65,1,,,,,,,,,,584140651902.0,6273.0
11,9,53,400,1,14,97337,6615056,9,,,5,128,0,,,,,,,,,,833487899.0,4404.0
52,9,56,600,7,14,97338,6615056,9,,,5,128,1,,,,,,,,,,,5693.0
9,8,0,400,6,14,97339,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,5386.0
6,8,11,900,6,14,97340,6615057,6,,,80,65,2,,,,,,,,,,600258376148.0,5967.0
6,8,1,300,6,14,97340,6615057,6,,,80,65,2,,,,,,,,,,600258376148.0,5967.0
6,8,6,800,2,14,97341,6615057,6,,,80,65,1,,,,,,,,,,589505069006.0,6040.0
6,8,1,900,2,14,97341,6615057,6,,,80,65,1,,,,,,,,,,589505069006.0,6040.0
11,8,2,300,5,14,97342,6615056,9,,,5,128,0,,,,,,,,,,171835995.0,3281.0
6,8,6,800,2,14,97343,6615057,6,,,80,65,1,,,,,,,,,,658225739047.0,3117.0
6,8,4,500,2,14,97343,6615057,6,,,80,65,1,,,,,,,,,,658225739047.0,3117.0
6,8,11,900,2,14,97344,6615057,6,,,80,65,1,,,,,,,,,,598095845303.0,1511.0
6,8,8,700,2,14,97344,6615057,6,,,80,65,1,,,,,,,,,,598095845303.0,1511.0
6,8,11,900,5,14,97345,6615057,6,,,80,65,6,,,,,,,,,,600332520073.0,4353.0
9,8,9,0,4,14,97345,6615057,6,,,80,65,6,,,,,,,,,,600332520073.0,4353.0
6,8,9,600,3,14,97346,6615057,6,,,80,65,2,,,,,,,,,,600265999275.0,2437.0
6,8,11,900,1,14,97347,6615056,9,5,,5,128,1,,,,,,,,,,21770010840.0,5743.0
6,8,9,900,1,14,97347,6615056,9,5,,5,128,1,,,,,,,,,,21770010840.0,5743.0
6,8,10,900,2,14,97348,6615057,9,,,80,65,2,,,,,,,,,,600268569016.0,5445.0
6,8,11,900,2,14,97349,6615057,6,,,80,65,1,,,,,,,,,,585211008428.0,1486.0
9,8,11,0,2,14,97349,6615057,6,,,80,65,1,,,,,,,,,,585211008428.0,1486.0
9,8,14,600,6,14,97350,6615056,5,,,5,128,1,,,,,,,,,,18175951294.0,3849.0
9,8,15,200,7,14,97351,6615056,9,,,5,128,1,,,,,,,,,,17551132030.0,3703.0
6,8,17,0,1,14,97352,6615057,6,,,80,65,1,,,,,,,,,,587365304179.0,901.0
6,8,16,200,1,14,97352,6615057,6,,,80,65,1,,,,,,,,,,587365304179.0,901.0
9,8,17,100,1,14,97353,6615056,8,,,5,128,1,,,,,,,,,,17355637324.0,4300.0
11,8,21,0,0,14,97384,6615056,9,,,5,128,1,,,,,,,,,,22323004747.0,3648.0
9,8,22,100,0,14,97384,6615056,9,,,5,128,1,,,,,,,,,,22323004747.0,3648.0
9,3,8,400,0,14,97384,6615056,9,,,5,128,1,,,,,,,,,,22323004747.0,3648.0
6,8,23,400,7,14,97385,6615057,6,,,80,65,4,,,,,,,,,,592785099422.0,231.0
4,8,27,300,4,14,97386,6615057,6,5,,80,65,5,,,,,,,,,,591725074757.0,171.0
4,8,25,100,4,14,97386,6615057,6,5,,80,65,5,,,,,,,,,,591725074757.0,171.0
6,8,27,300,2,14,97387,6615057,6,,,80,65,2,,,,,,,,,,591669415865.0,4587.0
6,8,25,600,2,14,97387,6615057,6,,,80,65,2,,,,,,,,,,591669415865.0,4587.0
6,3,8,400,2,14,97387,6615057,6,,,80,65,2,,,,,,,,,,591669415865.0,4587.0
6,8,25,900,6,14,97403,6615057,6,,,80,65,6,,,,,,,,,,589593414915.0,3505.0
11,8,47,700,4,14,97404,6615056,9,,,5,128,0,,,,,,,,,,171835995.0,6056.0
11,8,37,500,5,14,97404,6615056,9,,,5,128,0,,,,,,,,,,171835995.0,6056.0
11,8,27,300,4,14,97404,6615056,9,,,5,128,0,,,,,,,,,,171835995.0,6056.0
11,8,26,700,4,14,97404,6615056,9,,,5,128,0,,,,,,,,,,171835995.0,6056.0
11,3,8,400,4,14,97404,6615056,9,,,5,128,0,,,,,,,,,,171835995.0,6056.0
6,8,28,400,3,14,97405,6615057,6,,,80,65,1,,,,,,,,,,598098432504.0,2350.0
6,8,32,400,4,14,97405,6615057,6,,,80,65,1,,,,,,,,,,598098432504.0,2350.0
6,8,31,400,7,14,97406,6615057,6,,,80,65,1,,,,,,,,,,584140702618.0,5886.0
6,8,33,300,3,14,97407,6615057,6,,,80,65,4,,,,,,,,,,594921502696.0,2940.0
11,8,47,700,6,14,97423,6615056,8,,,5,128,0,,,,,,,,,,4428989884.0,5656.0
11,8,36,100,6,14,97423,6615056,8,,,5,128,0,,,,,,,,,,4428989884.0,5656.0
11,3,8,400,6,14,97423,6615056,8,,,5,128,0,,,,,,,,,,4428989884.0,5656.0
6,8,39,200,2,14,97425,6615057,6,,,80,65,1,,,,,,,,,,658225739047.0,2835.0
6,8,42,600,2,14,97425,6615057,6,,,80,65,1,,,,,,,,,,658225739047.0,2835.0
6,8,40,400,0,14,97441,6615057,6,,,80,65,2,,,,,,,,,,599187673058.0,490.0
6,8,47,700,0,14,97459,6615057,6,,,80,65,6,,,,,,,,,,585291840740.0,1730.0
6,8,46,900,0,14,97459,6615057,6,,,80,65,6,,,,,,,,,,585291840740.0,1730.0
6,3,8,400,0,14,97459,6615057,6,,,80,65,6,,,,,,,,,,585291840740.0,1730.0
6,8,47,300,7,14,97460,6615057,6,,,80,65,1,,,,,,,,,,594878352834.0,3161.0
6,8,52,500,1,14,97476,6615057,6,,,80,65,1,,,,,,,,,,631379380181.0,742.0
6,8,52,900,1,14,97476,6615057,6,,,80,65,1,,,,,,,,,,631379380181.0,742.0
4,8,53,300,1,14,97477,6615057,6,5,,80,65,1,,,,,,,,,,600247213455.0,3678.0
6,8,53,700,7,14,97478,6615057,6,,,80,65,1,,,,,,,,,,633531125741.0,3587.0
11,8,54,0,2,14,97479,6615056,8,,,5,128,0,,,,,,,,,,5364056360.0,1910.0
6,8,54,400,4,14,97481,6615057,6,,,80,65,6,,,,,,,,,,594967344992.0,1691.0
9,8,58,0,4,14,97481,6615057,6,,,80,65,6,,,,,,,,,,594967344992.0,1691.0
9,8,54,800,1,14,97482,6615056,8,,,5,128,1,,,,,,,,,,21650604620.0,1277.0
6,8,55,900,1,14,97483,6615057,6,,,80,65,4,,,,,,,,,,584188309937.0,5361.0
9,8,58,0,1,14,97483,6615057,6,,,80,65,4,,,,,,,,,,584188309937.0,5361.0
6,8,57,600,6,14,97484,6615057,6,,,80,65,1,,,,,,,,,,588428812878.0,3297.0
6,3,5,500,7,14,97485,6615057,6,,,80,65,6,,,,,,,,,,587437786543.0,4208.0
6,3,5,700,6,14,97486,6615057,6,,,80,65,1,,,,,,,,,,588428812878.0,450.0
6,3,13,500,6,14,97486,6615057,6,,,80,65,1,,,,,,,,,,588428812878.0,450.0
6,3,6,400,6,14,97487,6615057,6,,,80,65,2,,,,,,,,,,588447838733.0,5960.0
6,3,6,900,6,14,97488,6615057,6,,,80,65,2,,,,,,,,,,593824134804.0,5962.0
6,3,8,400,2,14,97489,6615057,6,,,80,65,1,,,,,,,,,,589509064114.0,4371.0
9,3,10,0,2,14,97490,6615057,6,,,80,65,2,,,,,,,,,,592751483604.0,317.0
6,3,13,500,2,14,97490,6615057,6,,,80,65,2,,,,,,,,,,592751483604.0,317.0
4,3,10,400,2,14,97492,6615057,6,5,,80,65,4,,,,,,,,,,600301328255.0,3479.0
4,3,11,600,4,14,97493,6615057,6,5,,80,65,6,,,,,,,,,,597110138738.0,3320.0
4,3,13,500,4,14,97493,6615057,6,5,,80,65,6,,,,,,,,,,597110138738.0,3320.0
6,3,23,800,1,14,97524,6615057,6,,,80,65,5,,,,,,,,,,592801278266.0,4019.0
9,3,27,700,7,14,97525,6615056,9,,,5,128,1,,,,,,,,,,17551132030.0,2734.0
6,3,28,200,7,14,97526,6615057,6,,,80,65,5,,,,,,,,,,585281112775.0,1861.0
6,3,28,900,1,14,97527,6615057,5,,,80,65,6,,,,,,,,,,592817716757.0,4967.0
6,3,28,300,1,14,97527,6615057,5,,,80,65,6,,,,,,,,,,592817716757.0,4967.0
6,3,28,700,6,14,97543,6615057,6,,,80,65,1,,,,,,,,,,592723048682.0,4969.0
6,3,31,600,0,14,97544,6615057,6,,,80,65,3,,,,,,,,,,591688129882.0,3463.0
9,3,34,0,0,14,97544,6615057,6,,,80,65,3,,,,,,,,,,591688129882.0,3463.0
6,3,34,400,7,14,97545,6615057,6,,,80,65,2,,,,,,,,,,598109287191.0,4776.0
6,3,35,500,1,14,97546,6615057,5,,,80,65,6,,,,,,,,,,592817716757.0,2953.0
6,3,39,100,1,14,97546,6615057,5,,,80,65,6,,,,,,,,,,592817716757.0,2953.0
6,3,37,100,6,14,97548,6615057,6,,,80,65,1,,,,,,,,,,595946456054.0,4594.0
4,3,37,900,2,14,97549,6615057,6,5,,80,65,1,,,,,,,,,,598103703652.0,1415.0
4,3,39,100,2,14,97549,6615057,6,5,,80,65,1,,,,,,,,,,598103703652.0,1415.0
6,3,39,200,6,14,97550,6615057,5,,,80,65,4,,,,,,,,,,598149624556.0,946.0
6,3,40,700,7,14,97551,6615056,9,5,,5,128,1,,,,,,,,,,17541759191.0,5588.0
6,3,59,600,7,14,97551,6615056,9,5,,5,128,1,,,,,,,,,,17541759191.0,5588.0
6,3,40,700,7,14,97552,6615057,6,,,80,65,2,,,,,,,,,,598109287191.0,6283.0
6,14,4,700,7,14,97552,6615057,6,,,80,65,2,,,,,,,,,,598109287191.0,6283.0
9,3,41,600,7,14,97553,6615056,9,5,,5,128,0,,,,,,,,,,5280367900.0,5411.0
6,3,42,400,6,14,97569,6615057,5,,,80,65,2,,,,,,,,,,591667219094.0,4136.0
6,3,42,600,4,14,97570,6615057,6,,,80,65,6,,,,,,,,,,596041086816.0,4491.0
6,3,44,200,4,14,97570,6615057,6,,,80,65,6,,,,,,,,,,596041086816.0,4491.0
6,3,44,600,7,14,97572,6615057,6,,,80,65,1,,,,,,,,,,599179234498.0,465.0
6,3,48,800,4,14,97574,6615057,6,,,80,65,2,,,,,,,,,,589532237614.0,2023.0
6,3,49,400,4,14,97574,6615057,6,,,80,65,2,,,,,,,,,,589532237614.0,2023.0
6,3,49,800,2,14,97575,6615057,6,,,80,65,6,,,,,,,,,,590663041120.0,159.0
6,3,50,800,2,14,97576,6615057,6,,,80,65,6,,,,,,,,,,590661313154.0,5491.0
4,3,52,700,2,14,97577,6615057,6,5,,80,65,1,,,,,,,,,,585217126616.0,5395.0
4,3,56,0,2,14,97578,6615056,9,5,1,5,128,1,,,,,,,,,,17312186468.0,5055.0
6,3,59,600,2,14,97578,6615056,9,5,,5,128,1,,,,,,,,,,17312186468.0,5055.0
9,2,36,500,6,14,97594,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,425.0
9,3,58,400,6,14,97594,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,425.0
9,0,52,400,6,14,97594,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,425.0
9,5,4,600,6,14,97594,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,425.0
9,5,35,300,7,14,97594,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,425.0
9,5,40,400,6,14,97594,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,425.0
9,1,20,500,6,14,97594,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,425.0
9,14,35,500,6,14,97594,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,425.0
9,14,4,700,6,14,97594,6615056,9,5,,5,128,0,,,,,,,,,,288031642.0,425.0
9,3,58,900,7,14,97595,6615056,9,5,,5,128,0,,,,,,,,,,5280367900.0,2640.0
6,14,5,500,6,14,97597,6615057,6,,,80,65,4,,,,,,,,,,593855146470.0,4264.0
6,14,9,800,6,14,97597,6615057,6,,,80,65,4,,,,,,,,,,593855146470.0,4264.0
6,14,6,0,1,14,97613,6615057,6,5,,80,65,1,,,,,,,,,,600247213455.0,5035.0
11,14,9,300,0,14,97614,6615056,9,,,5,128,0,,,,,,,,,,5211817173.0,1026.0
11,14,9,800,0,14,97614,6615056,9,,,5,128,0,,,,,,,,,,5211817173.0,1026.0
9,14,11,0,2,14,97615,6615057,6,,,80,65,3,,,,,,,,,,586320825960.0,3121.0
6,14,14,800,3,14,97616,6615057,6,,,80,65,5,,,,,,,,,,590647650977.0,4140.0
6,14,19,400,2,14,97619,6615057,6,,,80,65,2,,,,,,,,,,589529849369.0,2207.0
6,14,20,100,2,14,97619,6615057,6,,,80,65,2,,,,,,,,,,589529849369.0,2207.0
6,14,19,600,2,14,97620,6615057,6,,,80,65,6,,,,,,,,,,590663041120.0,134.0
6,14,20,100,2,14,97620,6615057,6,,,80,65,6,,,,,,,,,,590663041120.0,134.0
4,14,25,200,2,14,97623,6615057,6,5,,80,65,1,,,,,,,,,,584137201591.0,250.0
6,14,24,0,2,14,97623,6615057,6,5,,80,65,1,,,,,,,,,,584137201591.0,250.0
6,14,25,300,3,14,97624,6615057,6,,,80,65,3,,,,,,,,,,586317866051.0,5142.0
6,14,30,300,3,14,97624,6615057,6,,,80,65,3,,,,,,,,,,586317866051.0,5142.0
6,14,25,400,1,14,97625,6615057,6,,,80,65,1,,,,,,,,,,585220651995.0,3278.0
6,14,30,300,1,14,97625,6615057,6,,,80,65,1,,,,,,,,,,585220651995.0,3278.0
6,14,25,500,2,14,97626,6615057,6,,,80,65,3,,,,,,,,,,586320825960.0,3517.0
9,14,35,300,1,14,97628,6615056,9,,,5,128,1,,,,,,,,,,18220253538.0,1977.0
9,14,35,500,1,14,97628,6615056,9,,,5,128,1,,,,,,,,,,18220253538.0,1977.0
11,14,37,600,0,14,97629,6615056,9,,,5,128,0,,,,,,,,,,5211817173.0,3570.0
6,14,43,200,1,14,97630,6615057,9,,,80,65,1,,,,,,,,,,594882790026.0,5377.0
6,14,45,700,1,14,97630,6615057,9,,,80,65,1,,,,,,,,,,594882790026.0,5377.0
6,14,43,900,7,14,97631,6615057,6,,,80,65,6,,,,,,,,,,593891448100.0,4047.0
52,14,46,500,7,14,97632,6615056,9,,,5,128,1,,,,,,,,,,,2475.0
4,14,51,100,2,14,97633,6615057,6,5,,80,65,1,,,,,,,,,,584137201591.0,1806.0
4,14,55,900,2,14,97633,6615057,6,5,,80,65,1,,,,,,,,,,584137201591.0,1806.0
6,14,51,600,6,14,97634,6615057,6,,,80,65,2,,,,,,,,,,587373474260.0,4702.0
15,14,55,0,7,14,97635,6615056,9,,,5,128,1,,,,,,,,,,,5687.0
52,14,56,100,7,14,97636,6615056,9,,,5,128,1,,,,,,,,,,,2530.0
6,14,57,900,2,14,97652,6615057,6,,,80,65,1,,,,,,,,,,599173421356.0,4148.0
6,14,58,600,2,14,97653,6615057,6,,,80,65,1,,,,,,,,,,589509064114.0,5576.0
11,14,59,300,6,14,97654,6615056,5,,,5,128,0,,,,,,,,,,868877096.0,5231.0
6,0,1,100,1,14,97655,6615057,6,,,80,65,1,,,,,,,,,,586294393819.0,3419.0
6,14,59,800,1,14,97655,6615057,6,,,80,65,1,,,,,,,,,,586294393819.0,3419.0
