head_1_0,head_1_1,head_1_2,head_2,head_4_0,head_4_1,head_5,head_6_0,head_6_1,head_8,head_9,head_10,head_11,head_13_0,head_13_1,head_13_2,head_13_3,head_13_4,head_13_5,head_14,body_0,body_2_0,body_2_1,body_2_2,body_2_3,body_2_4,body_3_0,body_3_1,body_3_2,body_3_3,body_3_4,body_3_5,body_7,body_10_value_1,body_10_value_2,body_10_separator_2,body_10_value_3,body_10_separator_3,body_10_value_4,body_10_separator_4,body_10_value_5,body_11,body_12,body_13,body_15,body_16_value_1,body_16_value_2,body_16_value_3,body_16_value_4,body_18_value_1,body_19,body_21
460247,6,2,0,72092,2,1,35,2,0,498262f037409ad7fa4a1df911f47488,0,3,14,7,3,9,6,2,0,2,4,8,8,9,0,14,7,3,9,6,2,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,-103,-128,5,19,0,1
460247,6,3,1,72094,5,2,30,0,1,f6830aafa173865d8d2408032226cb88,1,1,13,9,4,4,4,3,0,2,243270,0,7,2,8,13,9,4,4,4,3,2,-86.0,-96.0,0,64.0,0,1.0,0,51.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,6,4,1,72116,9,2,10,5,1,eb2e691b1f3c445f0cd206a9872927e1,1,7,15,7,5,0,8,1,0,2,85564,4,3,2,5,15,7,5,0,8,1,2,-95.0,125.0,0,-43.0,0,98.0,0,4,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,6,5,1,5,0,2,42,4,1,5ff7426aecf42ff9c0791ebe1975b2c8,1,1,13,4,3,6,2,5,0,2,243276,3,1,2,3,13,4,3,6,2,5,2,96.0,-20.0,0,49.0,0,98.0,0,96.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,6,6,1,5,1,2,26,0,0,8f9d16180b6e6e94449ce760fb6ab18a,0,0,13,4,3,5,2,0,0,2,1,7,9,0,4,13,4,3,5,2,0,1,nan,nan,-1,nan,-1,nan,-1,nan,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,6,7,1,5,2,2,1,0,0,3c4943e8ab431f25017cedeaf588b1ca,0,5,13,5,3,0,1,4,0,2,2,6,6,8,0,13,5,3,0,1,4,2,-58.0,-7.0,0,14,0,13,0,54.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,6,8,1,5,3,2,9,0,1,40760ac9a1af28b6fc0c5cc93da43280,1,7,14,1,7,1,4,6,0,2,85565,4,2,6,9,14,1,7,1,4,6,2,7,13,0,-29.0,0,57.0,0,68.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,6,9,1,5,4,2,22,0,0,f1b891195784594763ac51b5b2b7928d,0,0,15,0,6,0,2,1,0,2,0,7,1,6,8,15,0,6,0,2,1,2,-27.0,-11.0,0,-102.0,0,65.0,0,-42.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,7,0,0,10,2,1,89,5,0,f65248502d5ae910c615cc175d728eaa,0,0,16,6,2,5,8,2,0,2,115762,9,3,2,6,16,6,2,5,8,2,2,68.0,-93.0,0,-98.0,0,105.0,0,11.0,1,1,1,0,0,33,103,5,103,0,1
460247,7,1,0,72120,4,1,78,0,0,c1a209c98d69cb91b6de5c857b0ff2e5,0,5,16,0,7,8,3,8,0,2,2,4,4,1,2,16,0,7,8,3,8,2,-73.0,14,0,11.0,0,-114.0,0,63.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,7,2,0,72141,3,1,7,0,1,1d293af537156a82a961ba1b0b31aaa3,1,1,13,5,8,5,3,5,0,2,243274,5,2,7,0,13,5,8,5,3,5,1,nan,nan,-1,nan,-1,nan,-1,nan,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,7,3,0,72141,5,1,51,0,0,580a860eb2bfb1a791a2c2155d07eac3,0,0,14,3,8,7,7,7,0,2,1,1,0,4,6,14,3,8,7,7,7,2,18.0,15,0,61.0,0,-25.0,0,-19.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,7,4,1,72142,1,2,97,0,0,89f471877feadfd030b499dc09ea91dc,0,2,15,4,1,7,2,6,0,2,5,6,9,3,2,15,4,1,7,2,6,1,nan,nan,-1,nan,-1,nan,-1,nan,2,13,11,0,0,41,-111,4,96,99,1
460247,7,5,0,72166,5,1,76,4,0,3a94de80b839ff498f90fef3148a93d8,0,2,14,3,7,7,4,4,0,2,10,3,4,7,4,14,3,7,7,4,4,2,18.0,15,0,22.0,0,-38.0,0,-11.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,7,6,0,72168,8,1,17,9,1,f2661ea46995dfb0c670028ea6d0b246,1,1,14,7,5,7,7,2,0,2,243272,2,0,6,6,14,7,5,7,7,2,2,17.0,-17.0,0,-22.0,0,3,0,76.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,7,7,1,72169,3,2,19,9,1,fd4094338b1dcfca91874907e25bdcab,1,7,15,4,3,9,1,6,0,2,85570,6,2,0,8,15,4,3,9,1,6,1,nan,nan,-1,nan,-1,nan,-1,nan,1,10,4,0,0,121,104,4,66,112,1
460247,7,8,0,72169,7,1,73,4,0,b71fe115d21b04993891064ab2f1f218,0,5,16,2,9,5,5,8,0,2,2,9,9,6,4,16,2,9,5,5,8,1,nan,nan,-1,nan,-1,nan,-1,nan,2,4,5,0,0,6,101,4,-124,38,1
460247,7,9,1,6,6,2,75,8,0,28f348be2c170e14d49eeaf1e6c1e2a4,0,4,14,6,8,0,8,5,0,2,9,2,8,2,8,14,6,8,0,8,5,1,nan,nan,-1,nan,-1,nan,-1,nan,2,7,7,0,2,103,54,8,85,81,1
460247,8,0,0,6,9,1,8,8,1,3e75f018ff9307d9cc38b9989cc0b8cf,1,7,15,9,4,9,0,8,0,2,85565,5,2,0,2,15,9,4,9,0,8,2,-115.0,-57.0,0,115.0,0,36.0,0,64.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,8,1,0,72194,0,1,49,3,0,6ccd0f9c351147edae5774091e4aeed3,0,2,14,9,5,8,8,6,0,2,5,1,7,2,3,14,9,5,8,8,6,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,81,113,5,5,0,1
460247,8,2,0,72194,1,1,94,3,0,aa3345539c1e96cb9768ac16b0d9fd19,0,2,15,5,8,8,6,4,0,2,5,7,7,8,5,15,5,8,8,6,4,2,118.0,-64.0,0,10.0,0,-82.0,0,-6.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,8,3,1,8,6,2,20,3,1,89e990c2700ec40d66649b23a269d3cc,1,1,14,0,0,4,8,3,0,2,243271,9,1,6,9,14,0,0,4,8,3,1,nan,nan,-1,nan,-1,nan,-1,nan,2,10,4,0,0,38,41,3,35,102,1
460247,8,4,0,8,7,1,22,3,0,61433ea89925df242f74e7857c6fcbb4,0,3,14,4,7,6,7,1,0,2,6,2,2,7,5,14,4,7,6,7,1,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,-103,-128,5,19,0,1
460247,8,5,1,72220,0,2,18,2,0,94ef517704bc26ad24e11368807e7d22,0,0,16,3,7,3,2,6,0,2,0,8,2,6,7,16,3,7,3,2,6,1,nan,nan,-1,nan,-1,nan,-1,nan,2,3,3,0,0,71,8,4,69,98,1
460247,8,6,1,72220,4,2,92,2,0,3d451bebf9b23df3d3c60f708ed82a44,0,4,14,9,0,6,7,9,0,2,7,4,9,4,3,14,9,0,6,7,9,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,8,97,4,105,0,1
460247,8,7,1,72220,7,2,49,2,1,cd70951098f883d4577cf213e0c60ce2,1,7,16,3,5,0,5,3,0,2,85564,7,8,9,3,16,3,5,0,5,3,2,-30.0,-73.0,0,123.0,0,84.0,0,-124.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,8,8,0,72220,9,1,75,7,0,8ec00ea88bcc3679c6cd9aa32ffae927,0,3,13,4,4,7,9,5,0,2,6,4,0,4,5,13,4,4,7,9,5,1,nan,nan,-1,nan,-1,nan,-1,nan,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,8,9,1,9,0,2,13,3,0,982461af008cf0ee465d24f9c7ec1899,0,5,13,8,4,8,8,0,0,2,11,9,9,0,0,13,8,4,8,8,0,2,-18.0,-77.0,0,60.0,0,0,0,-49.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,9,0,0,9,2,1,15,3,0,ea94e9aeafadd855c44192cbe010dc71,0,3,14,1,2,7,1,1,0,2,4,7,3,0,0,14,1,2,7,1,1,1,nan,nan,-1,nan,-1,nan,-1,nan,2,2,2,0,2,101,-122,16,19,24,1
460247,9,1,1,9,3,2,39,7,1,31f54d139d071a25051054b67f1f9086,1,1,15,1,2,4,9,7,0,2,243276,5,3,3,4,15,1,2,4,9,7,2,125.0,-55.0,0,-89.0,0,-94.0,0,-115.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,9,2,1,9,4,2,83,2,1,88df9974f935e049d7fe417d0980c612,1,1,15,4,8,7,0,0,0,2,243271,7,3,7,4,15,4,8,7,0,0,2,8,44.0,0,2,0,48.0,0,4,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,9,3,2,9,5,3,5,2,1,b9252abbf3fe34c7872dac2e92f5b6f5,1,1,16,3,3,5,4,2,0,2,243273,6,8,9,7,16,3,3,5,4,2,1,nan,nan,-1,nan,-1,nan,-1,nan,2,9,1,0,0,64,-122,6,0,0,1
460247,9,4,1,9,6,2,78,2,0,23b2ae4f9d7161b873a74880704ebc4b,0,6,13,4,2,8,4,6,0,2,3,4,8,7,7,13,4,2,8,4,6,2,68.0,114.0,0,20.0,0,110.0,0,112.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,9,5,1,7,0,2,95,2,0,9275b7351ca3f7816c2ac053a2617dc4,0,6,14,1,4,9,0,1,0,2,8,7,3,3,8,14,1,4,9,0,1,2,15,73.0,0,-124.0,0,14.0,0,120.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,9,6,0,72223,0,1,97,7,0,35a0f1fdba2739be3f6554074ebd69c8,0,5,15,0,9,5,7,1,0,2,2,2,3,2,7,15,0,9,5,7,1,1,nan,nan,-1,nan,-1,nan,-1,nan,1,0,0,0,1,-1,-1,-1,-1,-1,1
460247,9,7,2,72223,1,3,69,2,1,eb39828c42f7c4a98342432b5c5714eb,1,1,15,9,5,6,5,7,0,2,243275,3,8,8,5,15,9,5,6,5,7,1,nan,nan,-1,nan,-1,nan,-1,nan,1,4,5,0,2,38,114,72,-125,21,1
460247,9,8,1,72223,2,2,83,7,0,d2f48e7653d9afd0524d4419d4ce6041,0,4,16,0,4,9,9,4,0,2,7,0,1,1,8,16,0,4,9,9,4,1,nan,nan,-1,nan,-1,nan,-1,nan,2,2,2,0,2,89,81,82,9,33,1
460247,9,9,1,72243,4,2,4,7,0,641dd181c1eb2f082327b44e6ff60c99,0,2,13,4,2,7,5,0,0,2,5,6,1,1,6,13,4,2,7,5,0,1,nan,nan,-1,nan,-1,nan,-1,nan,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,0,0,0,72244,3,1,96,7,0,3aa06437d5904b28eed489f030116405,0,4,15,4,2,4,9,5,0,2,7,3,0,9,3,15,4,2,4,9,5,2,-119.0,6,0,-93.0,0,-95.0,0,13,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,0,1,0,72244,9,1,27,2,0,fe71c8958f8247b6e084b9c7bc922bb4,0,5,16,7,1,1,1,5,0,2,2,6,8,3,4,16,7,1,1,1,5,2,90.0,7,0,126.0,0,0,0,56.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,0,2,0,72245,0,1,6,2,0,b29cd2bbc2848820a1f3f41fd7ca3531,0,6,13,4,2,8,2,0,0,2,8,0,1,2,7,13,4,2,8,2,0,2,-123.0,-70.0,0,-104.0,0,68.0,0,5,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,0,3,1,72248,4,2,60,6,0,ce69805e2025c49cd728de8d89674042,0,2,13,4,5,0,7,5,0,2,12,0,1,3,7,13,4,5,0,7,5,2,-91.0,-95.0,0,-16.0,0,124.0,0,30.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,0,4,1,72248,7,2,65,2,1,60da668653b2279013298ee9d95647a5,1,7,14,3,9,8,7,0,0,2,85565,2,0,6,5,14,3,9,8,7,0,1,nan,nan,-1,nan,-1,nan,-1,nan,2,4,5,0,0,104,41,5,2,73,1
460248,0,5,0,72269,3,1,91,6,0,8ac15ee35463ddf747e698ee1f6fc23f,0,4,15,9,4,9,6,4,0,2,9,2,7,3,8,15,9,4,9,6,4,2,91.0,81.0,0,-32.0,0,0.0,0,91.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,0,6,1,72271,7,2,55,6,0,1b84317aa938236a6dc83ce3555e2d1f,0,0,15,8,0,5,1,8,0,2,115762,7,9,4,0,15,8,0,5,1,8,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,114,67,4,80,112,1
460248,0,7,1,72274,5,2,9,2,1,50b431ec2aa34ad5f3a84946a093da8a,1,1,16,6,4,0,3,3,0,2,243273,8,4,3,7,16,6,4,0,3,3,1,nan,nan,-1,nan,-1,nan,-1,nan,2,4,9,0,0,17,66,6,16,118,1
460248,0,8,1,72299,2,2,15,5,0,0b17674226d78eb0fc89a443d08c3053,0,3,14,9,0,4,7,4,0,2,120798,0,2,7,9,14,9,0,4,7,4,2,-37.0,88.0,0,106.0,0,0,0,97.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,0,9,1,72299,5,2,60,0,0,74120fe0d13b73f8a2c3fe0973a5d5f1,0,4,15,9,3,2,3,6,0,2,14,1,9,6,8,15,9,3,2,3,6,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,81,113,5,6,0,1
460248,1,0,0,72300,1,1,91,5,0,f18274ca204d5aed778c352bc48699f4,0,0,16,5,1,5,8,4,0,2,1,5,4,5,8,16,5,1,5,8,4,1,nan,nan,-1,nan,-1,nan,-1,nan,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,1,1,0,13,0,1,25,0,0,eeaaeec6cb0d9a66836228cc9f74acae,0,4,14,2,7,0,5,1,0,2,9,2,0,9,1,14,2,7,0,5,1,2,9,69.0,0,15,0,0,0,1,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,1,2,1,72321,9,2,87,1,0,32b2ea715fca212b065bcbdb4e0ac32c,0,0,13,4,4,0,6,6,0,2,0,7,6,5,3,13,4,4,0,6,6,1,nan,nan,-1,nan,-1,nan,-1,nan,2,15,15,0,0,64,37,6,50,102,1
460248,1,3,1,14,3,2,62,0,0,b342405c2fe3921dc6b00c01a51261ae,0,4,16,0,6,7,5,9,0,2,7,0,3,6,5,16,0,6,7,5,9,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,81,113,5,17,0,1
460248,1,4,1,72325,0,2,96,4,0,1545b30bbd2916048aba2f5b53c0cd83,0,4,14,4,3,0,3,8,0,2,14,2,8,1,0,14,4,3,0,3,8,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,81,113,5,17,0,1
460248,1,5,0,72325,1,1,27,9,0,c5357e748cb7a3c59bf289788d5c6183,0,0,14,5,2,8,3,6,0,2,0,7,1,3,3,14,5,2,8,3,6,2,80.0,-115.0,0,-105.0,0,14,0,-103.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,1,6,2,72325,3,3,69,4,0,6a4a2bb2d24ac798077be302ac24ffc8,0,2,15,2,9,5,2,8,0,2,10,7,9,1,2,15,2,9,5,2,8,1,nan,nan,-1,nan,-1,nan,-1,nan,2,2,2,0,0,121,81,4,71,112,1
460248,1,7,0,72346,3,1,48,9,0,fe3ab682140a3fcaafe37dddd89b3545,0,0,13,4,2,4,6,7,0,2,0,0,2,4,6,13,4,2,4,6,7,1,nan,nan,-1,nan,-1,nan,-1,nan,2,8,1048576000,0,0,54,-104,3,41,0,1
460248,1,8,1,72346,4,2,36,9,0,dc781f4ad27355db0a07108eb6d6937f,0,5,14,2,9,6,6,4,0,2,2,5,5,6,3,14,2,9,6,6,4,2,-92.0,-122.0,0,7,0,6,0,-14.0,1,2,2,0,2,103,6,8,73,70,1
460248,1,9,0,72372,9,1,58,8,0,b6bd19f32780acf78eb90d9eec7194d1,0,5,15,6,1,9,9,6,0,2,11,9,8,2,6,15,6,1,9,9,6,1,nan,nan,-1,nan,-1,nan,-1,nan,2,2,2,0,0,112,64,5,16,52,1
460248,2,0,1,72375,3,2,20,3,0,8a272918ef564b06a5d9c90008f89afd,0,0,15,7,0,0,6,2,0,2,1,9,1,6,4,15,7,0,0,6,2,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,114,67,4,80,112,1
460248,2,1,0,72400,3,1,69,7,0,cb63cf5bee4617c12e580fd5b83e743c,0,3,16,0,3,7,2,2,0,2,4,3,6,0,1,16,0,3,7,2,2,2,0.0,66.0,0,80.0,0,30.0,0,0.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,2,2,1,11,3,2,73,7,0,39b04a2a3a2395a0fd381e1200de2a09,0,2,16,1,6,7,9,3,0,2,12,2,3,0,2,16,1,6,7,9,3,1,nan,nan,-1,nan,-1,nan,-1,nan,2,1,1,0,0,73,8,5,115,0,1
460248,2,3,0,11,4,1,84,7,0,57301bae243b968a1e86f744b0676c63,0,6,13,4,2,9,7,2,0,2,8,4,5,8,4,13,4,2,9,7,2,2,-74.0,14,0,31.0,0,1.0,0,-114.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,2,4,0,11,7,1,7,2,1,5fb8f08e70fee1379899aa14c922d604,1,7,14,3,5,3,2,7,0,2,85567,1,2,6,9,14,3,5,3,2,7,2,6,-25.0,0,23.0,0,15,0,6,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,2,5,0,4,1,1,93,2,0,7ff4f716673c760f7fd2f710b9164d48,0,4,14,5,0,8,8,0,0,2,7,0,4,3,8,14,5,0,8,8,0,2,127.0,-41.0,0,-90.0,0,127.0,0,-26.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,2,6,1,4,5,2,49,7,1,1cb10bdab0b56603e1f9af35cba7e226,1,7,16,6,5,8,9,9,0,2,15,0,9,7,5,16,6,5,8,9,9,1,nan,nan,-1,nan,-1,nan,-1,nan,2,10,4,0,0,32,-119,6,103,48,1
460248,2,7,1,3,4,2,58,2,1,b1c7344289ab994f8a63ea5202cb1c07,1,7,13,8,4,4,9,9,0,2,85567,5,4,1,6,13,8,4,4,9,9,2,40.0,-26.0,0,75.0,0,-95.0,0,-32.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,2,8,1,3,7,2,68,7,0,7fdc7b590e70b42ed74a3ea18afbcf59,0,4,15,5,7,5,9,8,0,2,7,1,0,7,9,15,5,7,5,9,8,1,nan,nan,-1,nan,-1,nan,-1,nan,2,13,11,0,0,35,18,4,40,98,1
460248,2,9,0,3,8,1,94,7,1,6732f3612b84938f9c0245058d15b9f3,1,1,15,9,8,1,6,0,0,2,243272,6,6,0,8,15,9,8,1,6,0,2,-32.0,3.0,0,118.0,0,1,0,80.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,3,0,0,3,9,1,51,2,1,ca7f8c3cb7ffeb503592df048a060ecc,1,1,16,7,5,5,1,5,0,2,243273,9,3,4,7,16,7,5,5,1,5,2,10,1,0,2,0,7,0,14,1,103252000,103252000,0,2,99,69,16,100,39,1
460248,3,1,1,1,0,2,44,1,1,ad6b5abe83b1d468eb079b5506b0e4ea,1,7,14,2,2,2,8,1,0,2,85571,2,5,4,4,14,2,2,2,8,1,1,nan,nan,-1,nan,-1,nan,-1,nan,2,8,8,0,2,39,19,9,16,68,1
460248,3,2,0,1,1,1,83,1,1,8c8910efdc860c9dcfd4888bcff6ef91,1,1,14,7,3,8,2,9,0,2,243273,4,6,4,2,14,7,3,8,2,9,2,36.0,-15.0,0,108.0,0,19.0,0,45.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,3,3,1,1,5,2,50,7,0,734f078bac91d544cdf0a17f4cdc1e1e,0,2,15,7,5,1,0,0,0,2,10,8,3,3,4,15,7,5,1,0,0,1,nan,nan,-1,nan,-1,nan,-1,nan,2,13,11,0,0,41,-111,4,96,99,1
460248,3,4,0,1,6,1,33,2,0,cefbde5c88755e99adcc8848b648cbfd,0,0,16,7,0,4,7,8,0,2,1,9,0,7,4,16,7,0,4,7,8,2,-10.0,8,0,80.0,0,-22.0,0,-54.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,3,5,1,1,7,2,74,8,0,21572637e18823616a1009003fbaa200,0,2,13,4,3,0,8,0,0,2,12,2,7,5,3,13,4,3,0,8,0,1,nan,nan,-1,nan,-1,nan,-1,nan,2,3,3,0,0,113,-127,4,55,2,1
460248,3,6,1,1,9,2,67,6,0,5f4f3b270909f312cd38f3904f20b4ce,0,6,13,9,6,0,9,5,0,2,8,2,6,1,9,13,9,6,0,9,5,2,81.0,-27.0,0,-25.0,0,99.0,0,15,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,3,7,1,0,0,2,91,8,0,ae129e8846f20614abd0c2cf94737079,0,4,14,4,1,1,2,4,0,2,14,1,6,7,4,14,4,1,1,2,4,2,-82.0,69.0,0,23.0,0,101.0,0,-82.0,1,5,6,0,0,-104,-104,4,35,2,1
460248,3,8,0,0,1,1,78,2,1,3362967d4065ccdb61d6184ad157f9ad,1,1,15,6,8,8,7,2,0,2,243275,5,7,8,2,15,6,8,8,7,2,2,-79.0,-47.0,0,44.0,0,-88.0,0,37.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
460248,3,9,1,0,2,2,39,2,0,d4f2cc3df3424808c8f316905bcd7259,0,5,16,6,6,6,1,6,0,2,2,8,1,9,1,16,6,6,6,1,6,2,53.0,88.0,0,-17.0,0,103.0,0,53.0,1,0,0,0,1,-1,-1,-1,-1,-1,1
